experience_level,employment_type,job_category,employee_residence_group,remote_ratio,company_location_group,company_size,adjusted_salary
3,2,4,1,1,1,0,85847.0
2,0,1,2,1,2,2,30000.0
2,0,1,2,1,2,2,25500.0
3,2,2,0,1,0,1,175000.0
3,2,2,0,1,0,1,120000.0
3,2,2,2,0,2,0,222200.0
3,2,2,2,0,2,0,136000.0
3,2,2,0,0,0,1,219000.0
3,2,2,0,0,0,1,141000.0
3,2,2,2,0,2,1,147100.0
3,2,2,2,0,2,1,90700.0
3,2,0,2,1,2,1,130000.0
3,2,0,2,1,2,1,100000.0
0,2,2,2,0,2,0,213660.0
0,2,2,2,0,2,0,130760.0
3,2,5,2,0,2,1,147100.0
3,2,5,2,0,2,1,90700.0
3,2,2,2,0,2,1,170000.0
3,2,2,2,0,2,1,150000.0
2,2,0,2,1,2,1,150000.0
2,2,0,2,1,2,1,110000.0
3,2,1,0,0,0,1,275000.0
3,2,1,0,0,0,1,174000.0
3,2,1,0,1,0,1,230000.0
3,2,1,0,1,0,1,143200.0
3,2,1,2,0,2,1,225000.0
3,2,1,2,0,2,1,156400.0
3,2,1,2,0,2,1,200000.0
3,2,1,2,0,2,1,130000.0
3,2,5,0,0,0,1,90000.0
3,2,5,0,0,0,1,72000.0
3,2,1,2,0,2,1,253200.0
3,2,1,2,0,2,1,90700.0
3,2,1,2,0,2,1,184590.0
2,2,1,2,0,2,1,162500.0
2,2,1,2,0,2,1,130000.0
2,2,0,2,0,2,1,105380.0
2,2,0,2,0,2,1,64500.0
0,2,0,1,1,1,0,100000.0
0,2,0,1,1,1,0,30000.0
2,2,1,1,2,1,0,22201.072
0,2,2,2,0,2,0,204620.0
0,2,2,2,0,2,0,110680.0
3,2,1,2,0,2,1,270703.0
3,2,1,2,0,2,1,221484.0
3,2,2,2,1,2,1,212750.0
3,2,2,2,1,2,1,185000.0
3,2,2,2,1,2,1,262000.0
3,2,2,2,1,2,1,245000.0
3,2,2,2,1,2,1,275300.0
3,2,2,2,1,2,1,183500.0
3,2,2,2,1,2,1,218500.0
3,2,2,2,1,2,1,199098.0
3,2,1,2,1,2,1,203300.0
3,2,1,2,1,2,1,123600.0
3,2,1,2,0,2,1,189110.0
3,2,1,2,0,2,1,139000.0
1,2,2,2,0,2,1,258750.0
1,2,2,2,0,2,1,185000.0
3,2,1,2,1,2,1,231500.0
3,2,1,2,1,2,1,166000.0
3,2,2,2,1,2,1,172500.0
3,2,2,2,1,2,1,110500.0
3,2,1,2,0,2,1,238000.0
3,2,1,2,0,2,1,176000.0
3,2,1,2,1,2,1,237000.0
3,2,1,2,1,2,1,201450.0
3,2,2,2,0,2,0,309400.0
3,2,2,2,0,2,0,159100.0
3,2,1,2,0,2,1,115000.0
3,2,1,2,0,2,1,81500.0
3,2,2,2,1,2,1,237000.0
3,2,2,2,1,2,1,201450.0
3,2,1,2,0,2,1,280000.0
3,2,1,2,0,2,1,210000.0
3,2,1,2,1,2,1,280100.0
3,2,1,2,1,2,1,168100.0
3,2,1,2,1,2,1,193500.0
3,2,1,2,1,2,1,139000.0
2,2,2,1,0,1,0,65062.0
3,2,1,1,1,2,1,150000.0
2,2,1,1,1,0,2,69751.0
0,2,3,1,2,1,0,312420.00000000006
2,2,1,0,1,0,0,96578.0
3,2,1,2,0,2,1,185900.0
3,2,1,2,0,2,1,129300.0
3,2,1,2,1,2,1,225000.0
3,2,1,2,1,2,1,175000.0
3,2,1,2,0,2,1,185000.0
3,2,1,2,0,2,1,140000.0
3,2,2,1,0,1,1,48289.0
3,2,2,1,0,1,1,38631.0
3,2,2,2,0,2,1,105000.0
3,2,2,2,0,2,1,70000.0
0,2,1,2,0,2,1,163196.0
0,2,1,2,0,2,1,145885.0
3,2,1,2,1,2,1,217000.0
3,2,1,2,1,2,1,185000.0
3,2,0,2,0,2,0,202800.0
3,2,0,2,0,2,0,104300.0
3,2,0,2,0,2,1,145000.0
3,2,0,2,0,2,1,65000.0
3,2,1,2,0,2,1,165000.0
3,2,1,2,0,2,1,132300.0
3,2,1,2,0,2,1,179170.0
3,2,1,2,0,2,1,94300.0
3,2,1,2,0,2,1,152500.0
3,2,1,2,0,2,1,116450.0
3,2,1,2,0,2,1,247300.0
3,2,1,2,0,2,1,133800.0
3,2,1,2,0,2,1,203000.0
3,2,1,2,0,2,1,133000.0
0,2,2,2,2,2,0,220000.0
0,2,1,1,1,1,2,59815.088
3,2,2,2,0,2,1,120000.0
3,2,1,2,0,2,1,289800.0
3,2,1,2,0,2,1,214000.0
3,2,1,2,0,2,1,179820.0
3,2,1,2,0,2,1,143860.0
3,2,1,2,1,2,1,283200.0
3,2,1,2,1,2,1,188800.0
3,2,1,2,0,2,1,214200.0
3,2,1,2,0,2,1,185900.0
3,2,1,2,0,2,1,129300.0
3,2,1,2,0,2,1,252000.0
3,2,1,2,0,2,1,129000.0
2,2,4,2,0,2,1,155000.0
2,2,4,2,0,2,1,140000.0
3,2,1,2,1,2,1,161800.0
3,2,1,2,1,2,1,141600.0
3,2,1,2,0,2,0,176100.0
2,2,1,2,1,2,1,100000.0
2,2,1,2,1,2,1,70000.0
0,2,1,2,0,2,1,85000.0
0,2,1,2,0,2,1,65000.0
3,2,2,2,1,2,1,138784.0
3,2,2,2,1,2,1,83270.0
0,2,0,2,0,2,1,75000.0
0,2,0,2,0,2,1,70000.0
3,2,0,2,0,2,1,204500.0
3,2,0,2,0,2,1,138900.0
3,2,1,2,1,2,1,212200.0
3,2,1,2,1,2,1,95000.0
3,2,1,2,1,2,1,75000.0
3,2,2,2,0,2,1,195000.0
3,2,2,2,0,2,1,160000.0
3,2,1,2,0,2,1,230000.0
3,2,1,2,0,2,1,143200.0
2,2,0,2,2,2,0,105000.0
2,2,2,1,1,1,0,20670.0
2,2,0,0,0,0,1,46178.0
2,2,0,0,0,0,1,42533.0
3,2,1,2,0,2,1,145000.0
3,2,0,2,0,2,1,168400.0
3,2,0,2,0,2,1,105200.0
3,2,1,2,0,2,1,190000.0
3,2,1,2,0,2,1,150000.0
3,2,1,2,1,2,1,150000.0
3,2,1,2,1,2,1,120000.0
3,2,1,2,0,2,1,120000.0
3,2,0,1,1,1,1,54685.0
3,2,0,1,1,1,1,42533.0
3,2,1,2,0,2,1,241000.0
3,2,1,2,0,2,1,155000.0
3,2,1,2,1,2,1,220000.0
3,2,1,2,1,2,1,190000.0
2,2,2,0,0,0,1,66837.0
2,2,2,0,0,0,1,54685.0
2,2,1,0,1,0,1,85066.0
2,2,1,0,1,0,1,57723.0
0,2,0,2,1,2,1,85000.0
0,2,0,2,1,2,1,75000.0
3,2,1,2,0,2,1,160000.0
2,2,1,2,0,2,1,300000.0
2,2,1,2,0,2,1,250000.0
3,2,2,2,0,2,1,228000.0
3,2,2,2,0,2,1,186000.0
3,2,2,2,0,2,1,190000.0
2,2,1,2,0,2,1,230000.0
2,2,1,2,0,2,1,200000.0
3,2,1,2,1,2,1,180000.0
3,2,1,2,1,2,1,115000.0
3,2,1,2,1,2,1,200000.0
3,2,1,0,2,0,2,53654.0
1,2,1,2,0,2,1,220000.0
1,2,1,2,0,2,1,205000.0
2,2,1,2,0,2,1,180000.0
3,2,1,2,1,2,1,200000.0
3,2,1,2,1,2,1,150000.0
3,2,1,2,0,2,1,215000.0
3,2,1,2,0,2,1,170000.0
3,2,1,2,0,2,1,247500.0
3,2,1,2,0,2,1,172200.0
3,2,2,0,0,0,1,224000.0
3,2,2,0,0,0,1,176000.0
3,2,0,2,1,2,1,120000.0
3,2,0,2,1,2,1,75000.0
0,2,1,1,1,1,0,17022.0
3,2,2,0,1,1,1,68318.0
2,2,3,1,0,1,1,75020.0
3,2,0,2,0,2,1,140000.0
3,2,0,2,0,2,1,120000.0
3,2,1,2,0,2,1,128000.0
1,2,4,2,0,2,1,269600.0
3,2,0,2,0,2,1,100000.0
3,2,0,2,0,2,1,80000.0
3,2,2,2,0,2,1,250000.0
3,2,2,2,0,2,1,162500.0
2,2,3,2,1,2,1,200000.0
3,2,1,2,0,2,1,100000.0
1,2,1,2,0,2,1,145000.0
1,2,1,2,0,2,1,115000.0
3,2,2,2,0,2,1,203500.0
3,2,2,2,0,2,1,152000.0
3,2,2,2,0,2,0,239000.0
3,2,2,2,0,2,0,122900.0
3,2,2,2,0,2,1,237000.0
3,2,2,2,0,2,1,145000.0
3,2,4,2,0,2,1,191765.0
3,2,4,2,0,2,1,134236.0
3,2,1,2,1,2,1,190000.0
3,2,1,2,1,2,1,112000.0
3,2,2,1,1,0,0,93374.848
3,2,0,2,0,2,1,135000.0
3,2,0,2,0,2,1,105500.0
3,2,1,2,0,2,1,293000.0
3,2,1,2,0,2,1,185000.0
3,2,0,2,0,2,1,80000.0
3,2,0,2,0,2,1,70000.0
3,2,1,2,1,2,1,160000.0
3,2,2,2,1,2,1,175000.0
3,2,2,2,1,2,1,145000.0
3,2,0,2,0,2,1,200000.0
3,2,0,2,0,2,1,148500.0
3,2,1,2,0,2,0,240500.0
3,2,1,2,0,2,0,123700.0
3,2,1,2,1,2,1,152900.0
3,2,1,2,1,2,1,117100.0
3,2,1,2,1,2,1,173000.0
3,2,1,2,1,2,1,113000.0
3,2,2,2,0,2,0,260000.0
1,2,1,2,0,2,1,175000.0
1,2,1,2,0,2,1,110000.0
3,2,2,2,1,2,1,130000.0
3,2,2,2,1,2,1,110000.0
3,2,2,2,1,2,1,205000.0
3,2,2,2,1,2,1,184000.0
